x,y,z
-147.59897,1399.28499,9702.42767
1031.80057,1974.89382,9647.00912
-36.71081,2217.24205,9549.83647
-1638.93823,-1833.83348,9490.40689
-521.94724,1023.91546,9454.21203
403.47669,1350.35297,9418.95485
-265.79312,3049.26104,9415.99512
1258.3106,2742.30727,9328.09155
2766.71365,-1217.74269,9326.26855
3357.4178,97.70832,9313.84999
3041.49264,344.57121,9313.83224
2985.52922,-2150.24448,9191.98928
1088.42801,3517.36213,9190.92323
419.70241,-2538.11729,9169.77467
2634.86622,838.87305,9113.54646
2314.89501,2102.09375,9092.7494
1528.1546,2419.21622,9083.78188
-77.25655,-3443.29377,9077.29877
503.75784,-3175.17643,9062.01476
-1617.41017,1660.36978,9053.78496
319.71006,-928.3515,9037.73065
-289.98366,-986.41758,9032.58082
2577.26959,2815.18758,9030.46438
355.99573,1636.53733,9020.14486
3060.83672,-2035.73578,8985.91409
682.86607,-1796.51088,8970.74374
-340.09406,2664.30226,8951.51914
157.74058,4022.9294,8939.12991
2332.07276,2667.47019,8938.7733
-2314.38711,-2707.40017,8931.36189
-776.79872,-1994.01877,8921.23722
2896.61127,2856.33483,8920.08302
-776.12471,1235.22649,8890.11188
-1189.95118,-932.16738,8881.29063
1995.55755,3383.04308,8878.7591
-4170.39865,-1625.49422,8831.48609
-2248.83633,2526.73817,8806.7002
3305.01667,-1651.38988,8777.96862
3895.56108,-709.36015,8762.2509
3502.59108,548.7973,8742.44164
3598.11763,-2266.99683,8727.76423
4213.03822,-798.69163,8710.45316
-1188.08302,1019.49888,8709.98035
3350.43296,-2421.7433,8681.32404
3265.25851,2536.73482,8680.93843
388.65296,2715.17836,8667.25919
4255.28511,-1018.66584,8666.85846
-1965.73044,1703.62821,8625.29988
2529.71271,3673.98047,8623.34097
4107.11655,-1128.31614,8620.56234
793.47833,2524.61557,8611.55918
-1117.20252,-467.61244,8610.8978
-3726.57521,-1154.35373,8589.51358
4180.51911,-2222.64622,8584.86984
4888.60891,-904.3266,8562.31339
2861.00133,-2283.17135,8505.03834
3650.08229,-1905.34917,8488.00229
2776.08199,613.32456,8463.83966
-977.45456,2683.28121,8459.54872
-313.4721,433.8823,8457.65451
3322.9073,626.07851,8438.65743
3755.32697,-1934.27366,8435.3851
1230.59528,-3458.56429,8407.85163
986.69506,-1218.34327,8401.98716
4865.17078,-1526.73805,8373.53396
4308.97806,1994.54171,8361.22509
-5292.97226,-455.74846,8355.01891
308.86014,-3570.08161,8354.8638
4443.15025,1112.29811,8350.09954
-1171.51647,2724.70342,8337.75852
-4647.16232,1878.25465,8314.78414
-1713.40139,-1903.4755,8309.95791
4568.7526,890.11357,8308.85999
4249.62742,3023.03527,8301.73084
2813.06796,3972.93297,8292.04926
4255.47369,-1462.53813,8291.65634
4541.44163,32.04116,8268.85007
-2092.21192,3834.25329,8262.25365
-556.26844,-3767.11999,8254.93785
-1913.18978,-1235.62983,8237.97831
-1351.86233,2955.63877,8231.12048
4186.63009,-1437.78939,8230.96018
3218.97097,-4026.70311,8226.99532
4156.12376,2036.41106,8220.66325
3180.83958,-2031.22262,8180.38169
375.09523,1926.83835,8170.86738
-1436.83056,170.86216,8136.80974
3525.79618,-2358.35498,8134.79528
3920.45303,2741.93733,8130.89674
3605.40414,3406.63464,8130.12043
1227.53669,1744.55132,8128.1099
-4154.05389,3310.30156,8126.828
729.22139,859.39617,8118.86134
995.2725,-4900.63675,8105.3161
1231.02368,-1072.99967,8101.51845
3369.59503,31.92751,8098.86202
-1386.1912,3501.00036,8095.7304
3329.44436,1338.91012,8089.30138
3079.74642,2783.80045,8087.65995
935.99855,75.34818,8075.67003
3317.44705,-4265.56312,8065.92168
4634.91889,957.89806,8058.77153
1264.23997,-1728.55815,8053.46031
-425.77594,1480.16663,8050.71777
2509.4091,866.48841,8048.01071
3437.36423,-647.34406,8044.39113
3790.00667,-2585.92074,8042.55623
887.86209,-3407.5219,8034.1304
-1924.4268,-3392.72865,8031.52252
756.25062,1497.22751,8023.25557
-4975.07054,2676.18933,8012.71304
3057.87869,3492.43814,8011.62474
1285.65367,-520.84591,8010.86957
4336.75977,3892.71726,8004.30256
-2053.27315,5283.27335,7999.24863
-1460.39049,1846.89168,7993.79069
3536.22588,-2498.75589,7993.4913
